label,gpu_type,duration,gpu_count,util,usd_per_gpu_hr,monthly_cost_usd
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.38,8059.2
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.41,8234.4
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.42,8292.8
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.42,8292.8
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.42,8292.8
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.42,8292.8
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.43,8351.199999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.4,8175.999999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 8 GPUs • 1h (spot) • 100% util,H100,1 hour,8,1.0,1.39,8117.599999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
H100 • 128 GPUs • 1w (reserved) • 80%,H100,1 week,128,0.8,1.4,104652.79999999999
